id,timestamp,username,warehouse_id,action,ip_address
243,2026-08-12 14:12:07,harsha200797@gmail.com,WH-CCU-01,view,192.168.1.178
244,2026-08-12 22:52:07,harsha200797@gmail.com,WH-BLR-01,view,192.168.1.9
245,2026-08-11 20:22:07,admin,WH-BOM-01,view,192.168.1.124
246,2026-08-13 06:24:07,admin,WH-DEL-01,view,192.168.1.142
247,2026-08-12 07:08:07,admin,WH-BOM-01,add_stock,192.168.1.57
248,2026-08-11 03:08:07,harsha200797@gmail.com,WH-BOM-01,add_stock,192.168.1.79
249,2026-08-10 19:01:07,admin,WH-CCU-01,view,192.168.1.35
250,2026-08-13 09:47:07,admin,WH-CHN-01,view,192.168.1.85
251,2026-08-11 16:08:07,admin,WH-BOM-01,view,192.168.1.6
252,2026-08-10 18:39:07,admin,WH-BOM-01,view,192.168.1.180
253,2026-08-10 22:13:07,admin,WH-BLR-01,add_stock,192.168.1.19
254,2026-08-11 13:03:07,harsha200797@gmail.com,WH-BLR-01,view,192.168.1.208
255,2026-08-11 04:26:07,admin,WH-BLR-01,view,192.168.1.229
256,2026-08-11 02:35:07,admin,WH-BLR-01,view,192.168.1.56
257,2026-08-11 03:08:07,admin,,login,192.168.1.211
258,2026-08-10 20:13:07,admin,,login,192.168.1.100
259,2026-08-12 06:09:07,admin,,login,192.168.1.130
260,2026-08-12 23:46:07,harsha200797@gmail.com,WH-CHN-01,view,192.168.1.154
261,2026-08-12 01:42:07,admin,,login,192.168.1.164
262,2026-08-10 13:37:07,admin,WH-BLR-01,view,192.168.1.115
263,2026-08-10 21:07:07,harsha200797@gmail.com,WH-BOM-01,view,192.168.1.178
264,2026-08-11 05:46:07,admin,WH-BOM-01,view,192.168.1.96
265,2026-08-11 08:46:07,admin,WH-CHN-01,view,192.168.1.74
266,2026-08-11 04:55:07,admin,,login,192.168.1.161
267,2026-08-13 12:51:07,admin,WH-CCU-01,view,192.168.1.235
268,2026-08-12 17:59:07,harsha200797@gmail.com,WH-BOM-01,add_stock,192.168.1.162
269,2026-08-11 21:45:07,harsha200797@gmail.com,WH-BOM-01,add_stock,192.168.1.102
270,2026-08-10 06:57:07,harsha200797@gmail.com,,login,192.168.1.193
271,2026-08-10 12:48:07,harsha200797@gmail.com,WH-BOM-01,view,192.168.1.234
272,2026-08-10 20:49:07,admin,WH-DEL-01,view,192.168.1.211
273,2026-08-12 13:11:07,harsha200797@gmail.com,WH-BOM-01,add_stock,192.168.1.128
274,2026-08-10 18:00:07,admin,WH-CCU-01,view,192.168.1.132
275,2026-08-11 10:19:07,admin,WH-BLR-01,add_stock,192.168.1.10
276,2026-08-12 11:30:07,admin,WH-BLR-01,add_stock,192.168.1.106
277,2026-08-10 16:23:07,admin,WH-DEL-01,view,192.168.1.117
278,2026-08-13 07:21:07,admin,,login,192.168.1.159
279,2026-08-11 09:24:07,admin,WH-CCU-01,view,192.168.1.195
280,2026-08-13 13:39:07,admin,,login,192.168.1.197
281,2026-08-10 10:19:07,admin,WH-CCU-01,view,192.168.1.126
282,2026-08-13 01:04:07,harsha200797@gmail.com,WH-CCU-01,add_stock,192.168.1.180
283,2026-08-12 21:02:07,harsha200797@gmail.com,,login,192.168.1.102
284,2026-08-12 22:17:07,harsha200797@gmail.com,WH-CCU-01,add_stock,192.168.1.240
285,2026-08-13 00:27:07,harsha200797@gmail.com,WH-CHN-01,view,192.168.1.160
286,2026-08-10 19:17:07,harsha200797@gmail.com,WH-CCU-01,view,192.168.1.21
287,2026-08-12 03:40:07,admin,WH-BLR-01,add_stock,192.168.1.47
288,2026-08-11 01:40:07,harsha200797@gmail.com,WH-CCU-01,view,192.168.1.163
289,2026-08-13 15:25:07,admin,WH-BLR-01,view,192.168.1.81
290,2026-08-12 01:45:07,admin,WH-DEL-01,view,192.168.1.129
291,2026-08-12 17:30:07,admin,WH-CHN-01,add_stock,192.168.1.70
292,2026-08-10 05:40:07,harsha200797@gmail.com,,login,192.168.1.239
293,2026-08-13 16:26:44,admin,,login,127.0.0.1
294,2026-08-13 16:31:23,harsha200797@gmail.com,,google_login,127.0.0.1
295,2026-08-13 16:31:29,harsha200797@gmail.com,,google_login,127.0.0.1
296,2026-08-13 16:41:52,admin,,login,127.0.0.1
297,2026-08-13 16:42:57,admin,,login,127.0.0.1
298,2026-08-13 16:44:03,admin,,login,127.0.0.1
299,2026-08-13 16:49:07,admin,,request_admin_creation,127.0.0.1
300,2026-08-13 16:49:49,admin,,created_admin_abhilash_reddy,127.0.0.1
301,2026-08-13 16:53:13,admin,,request_admin_creation,127.0.0.1
302,2026-08-13 16:53:44,admin,,created_admin_abhilash_reddy_test,127.0.0.1
303,2026-08-13 17:38:32,admin,,login,127.0.0.1
304,2026-08-13 17:45:06,admin,,login,127.0.0.1
305,2026-08-13 17:48:37,admin,,login,127.0.0.1
306,2026-08-13 17:50:26,admin,WH,ai_action_approved,127.0.0.1
307,2026-08-13 17:51:04,admin,WH,ai_action_approved,127.0.0.1
308,2026-08-13 17:54:51,admin,,login,127.0.0.1
309,2026-08-13 17:55:23,admin,WH,ai_action_approved,127.0.0.1
310,2026-08-13 18:02:22,admin,,login,127.0.0.1
311,2026-08-13 18:03:02,admin,WH,ai_action_approved,127.0.0.1
312,2026-08-13 18:04:10,admin,WH,ai_action_approved,127.0.0.1
313,2026-08-13 18:04:25,admin,WH,ai_action_approved,127.0.0.1
314,2026-08-13 18:05:09,admin,WH,ai_action_approved,127.0.0.1
315,2026-08-13 18:08:54,admin,WH,ai_action_approved,127.0.0.1
316,2026-08-13 18:26:38,admin,WH,ai_action_approved,127.0.0.1
